round,accuracy,loss,total_energy,total_time,fairness
1,41.84,2.189833676147461,302.1078156381852,335.1634501414463,1.0
2,81.8,0.634920341682434,311.4619869178258,341.077636311696,1.0
3,88.04,0.4168214162826538,310.89403689880265,341.3330322804883,1.0
4,89.57,0.35060916421413424,307.9159454646389,336.17126322680866,1.0
5,91.46,0.29357346020936964,318.1892650618186,348.22395594871693,1.0
6,92.22,0.26248428854942324,315.3850797987023,345.5790126634173,1.0
7,92.75,0.23852639310359955,316.22334369729214,346.24647026827586,1.0
8,93.63,0.2121386089682579,312.8789829078326,341.97551348375936,1.0
9,94.07,0.19890764313936232,309.67416217236,339.7595476801315,1.0
10,94.56,0.17981257497668265,303.15075517364403,332.79739624488906,1.0
